gap_log2,gap_hex,gap_decimal_approx,cc,bits,root1_hex,root2_hex
47,0x8731884b076c,148646809765740,10,90,0x27dc8de1b08bcd4341f21db,0x27dc8de1b094405bc6a2947
47,0x880cab7f6094,149587998236820,10,88,0x8ec57f7475c16ac8896aa3,0x8ec57f747649777408cb37
47,0x8b204b0446be,152970813785790,10,89,0x19f2a397e33b41ea02d4239,0x19f2a397e343f3eeb3188f7
47,0x8b4eabf9c77c,153170008983420,10,90,0x3610e8a570237a333d74721,0x3610e8a5702c2f1dfd10e9d
47,0x8e6b77e5a72e,156592224184110,10,90,0x2b7307df4b2a99c814376d7,0x2b7307df4b33807f9291e05
47,0xa1a75228583e,177740009986110,10,88,0xaec5d2a78169d97b6f11a9,0xaec5d2a7820b80cd9769e7
47,0xa5dd00d74208,182368620462600,10,90,0x310903b9e38d8e2730c0365,0x310903b9e397ebf73e3456d
47,0xaec381e4734a,192154721088330,10,91,0x466ad0427af51056dac9803,0x466ad0427afffc8ef910b4d
47,0xbb45bc5993a0,205908187124640,10,91,0x4dcc0de45a042ee09482a37,0x4dcc0de45a0fe33c5a1bdd7
47,0xc4087eee0890,215540768311440,10,90,0x3f3fb8fbd7d309ff999ddff,0x3f3fb8fbd7df4a87887e68f
47,0xc49e4ac2bb88,216184138152840,10,88,0xbb166a3765e7f4ab019453,0xbb166a3766ac92f5c44fdb
47,0xc4d871b6e158,216433899790680,10,91,0x620fed47a2f1a51dd98f0f1,0x620fed47a2fdf2a4f4fd249
47,0xc4d9a08aae5a,216438980390490,10,86,0x288a2951c9957753b98f31,0x288a2951ca5a50f4443d8b
47,0xc7608b834d12,219217471425810,10,89,0x10ef96a8e6f015b2f51d193,0x10ef96a8e6fc8bbbad51ea5
47,0xcda7df323822,226120887842850,10,88,0x90028c023d80ecc7fd8353,0x90028c023e4e94a72fbb75
47,0xcdba86bc4846,226201008097350,10,88,0xa00264a13f04b09df5e8e5,0xa00264a13fd26b24b2312b
